"province_id","province","m8","yes","no","refused","dont_know","total","perc_yes"
"AF01","Kabul",2006,30,11,1,2,44,68
"AF01","Kabul",2007,30,28,0,2,60,50
"AF01","Kabul",2008,54,13,0,16,83,65
"AF01","Kabul",2009,24,16,0,5,45,53
"AF01","Kabul",2010,15,11,0,5,31,48
"AF01","Kabul",2011,24,25,0,12,61,39
"AF01","Kabul",2012,15,17,2,24,58,26
"AF01","Kabul",2013,20,15,0,1,36,56
"AF01","Kabul",2014,27,19,0,1,47,57
"AF01","Kabul",2015,31,21,0,0,52,60
"AF01","Kabul",2016,55,39,0,1,95,58
"AF01","Kabul",2017,42,37,0,2,81,52
"AF01","Kabul",2018,50,33,0,4,87,57
"AF02","Kapisa",2006,8,1,0,0,9,89
"AF02","Kapisa",2007,10,1,0,0,11,91
"AF02","Kapisa",2008,10,6,0,5,21,48
"AF02","Kapisa",2009,8,7,0,0,15,53
"AF02","Kapisa",2010,13,12,1,0,26,50
"AF02","Kapisa",2011,2,0,0,1,3,67
"AF02","Kapisa",2012,9,3,0,3,15,60
"AF02","Kapisa",2013,33,15,0,1,49,67
"AF02","Kapisa",2014,19,12,0,0,31,61
"AF02","Kapisa",2015,9,8,0,0,17,53
"AF02","Kapisa",2016,22,11,0,0,33,67
"AF02","Kapisa",2017,18,7,0,0,25,72
"AF02","Kapisa",2018,12,2,0,1,15,80
"AF03","Parwan",2006,5,4,0,0,9,56
"AF03","Parwan",2007,2,1,0,0,3,67
"AF03","Parwan",2008,9,5,0,1,15,60
"AF03","Parwan",2009,15,10,0,2,27,56
"AF03","Parwan",2010,4,4,0,7,15,27
"AF03","Parwan",2011,24,12,0,2,38,63
"AF03","Parwan",2012,13,5,0,3,21,62
"AF03","Parwan",2013,48,17,0,0,65,74
"AF03","Parwan",2014,29,6,0,0,35,83
"AF03","Parwan",2015,125,22,0,3,150,83
"AF03","Parwan",2016,36,14,0,1,51,71
"AF03","Parwan",2017,4,5,1,0,10,40
"AF03","Parwan",2018,29,11,0,2,42,69
"AF04","Wardak",2006,40,3,0,0,43,93
"AF04","Wardak",2007,17,10,1,0,28,61
"AF04","Wardak",2008,49,10,0,4,63,78
"AF04","Wardak",2009,29,10,0,4,43,67
"AF04","Wardak",2010,30,14,0,5,49,61
"AF04","Wardak",2011,11,13,0,4,28,39
"AF04","Wardak",2012,23,27,0,2,52,44
"AF04","Wardak",2013,35,43,0,2,80,44
"AF04","Wardak",2014,63,1,0,1,65,97
"AF04","Wardak",2015,50,54,0,1,105,48
"AF04","Wardak",2016,106,54,0,3,163,65
"AF04","Wardak",2017,75,51,0,5,131,57
"AF04","Wardak",2018,113,32,0,1,146,77
"AF05","Logar",2006,6,1,0,0,7,86
"AF05","Logar",2007,13,3,0,1,17,76
"AF05","Logar",2008,3,0,1,0,4,75
"AF05","Logar",2009,20,11,0,2,33,61
"AF05","Logar",2010,10,16,0,4,30,33
"AF05","Logar",2011,6,15,0,1,22,27
"AF05","Logar",2012,18,12,0,1,31,58
"AF05","Logar",2013,60,16,0,0,76,79
"AF05","Logar",2014,60,17,0,0,77,78
"AF05","Logar",2015,22,18,0,1,41,54
"AF05","Logar",2016,24,21,0,2,47,51
"AF05","Logar",2017,13,15,0,2,30,43
"AF05","Logar",2018,32,65,0,1,98,33
"AF06","Nangarhar",2006,70,7,0,2,79,89
"AF06","Nangarhar",2007,35,17,0,0,52,67
"AF06","Nangarhar",2008,43,23,0,5,71,61
"AF06","Nangarhar",2009,42,28,0,1,71,59
"AF06","Nangarhar",2010,32,13,0,5,50,64
"AF06","Nangarhar",2011,62,22,0,5,89,70
"AF06","Nangarhar",2012,39,10,0,4,53,74
"AF06","Nangarhar",2013,47,15,0,1,63,75
"AF06","Nangarhar",2014,19,8,0,1,28,68
"AF06","Nangarhar",2015,30,18,0,0,48,62
"AF06","Nangarhar",2016,74,49,0,0,123,60
"AF06","Nangarhar",2017,92,61,0,3,156,59
"AF06","Nangarhar",2018,78,93,0,4,175,45
"AF07","Laghman",2006,28,7,0,0,35,80
"AF07","Laghman",2007,26,11,0,0,37,70
"AF07","Laghman",2008,13,7,0,2,22,59
"AF07","Laghman",2009,23,6,0,2,31,74
"AF07","Laghman",2010,18,10,0,2,30,60
"AF07","Laghman",2011,19,17,0,1,37,51
"AF07","Laghman",2012,18,7,0,5,30,60
"AF07","Laghman",2013,28,37,0,0,65,43
"AF07","Laghman",2014,22,22,0,0,44,50
"AF07","Laghman",2015,24,32,0,1,57,42
"AF07","Laghman",2016,27,26,0,0,53,51
"AF07","Laghman",2017,23,32,0,0,55,42
"AF07","Laghman",2018,28,19,0,0,47,60
"AF08","Panjsher",2006,8,2,0,0,10,80
"AF08","Panjsher",2007,29,6,0,0,35,83
"AF08","Panjsher",2008,7,5,1,1,14,50
"AF08","Panjsher",2009,2,3,0,0,5,40
"AF08","Panjsher",2010,3,4,0,0,7,43
"AF08","Panjsher",2011,0,0,0,0,0,0
"AF08","Panjsher",2012,0,0,0,0,0,0
"AF08","Panjsher",2013,3,1,0,0,4,75
"AF08","Panjsher",2014,2,1,0,0,3,67
"AF08","Panjsher",2015,2,0,0,1,3,67
"AF08","Panjsher",2016,4,1,0,1,6,67
"AF08","Panjsher",2017,2,2,0,0,4,50
"AF08","Panjsher",2018,3,0,0,0,3,100
"AF09","Baghlan",2006,35,7,0,0,42,83
"AF09","Baghlan",2007,38,12,0,0,50,76
"AF09","Baghlan",2008,39,16,1,1,57,68
"AF09","Baghlan",2009,35,4,0,1,40,88
"AF09","Baghlan",2010,37,28,0,1,66,56
"AF09","Baghlan",2011,42,17,0,4,63,67
"AF09","Baghlan",2012,24,6,0,3,33,73
"AF09","Baghlan",2013,73,15,0,0,88,83
"AF09","Baghlan",2014,56,8,0,0,64,88
"AF09","Baghlan",2015,70,17,0,0,87,80
"AF09","Baghlan",2016,256,48,0,1,305,84
"AF09","Baghlan",2017,72,16,0,0,88,82
"AF09","Baghlan",2018,44,49,0,7,100,44
"AF10","Bamyan",2006,3,1,0,0,4,75
"AF10","Bamyan",2007,2,2,0,1,5,40
"AF10","Bamyan",2008,0,0,0,0,0,0
"AF10","Bamyan",2009,0,2,0,0,2,0
"AF10","Bamyan",2010,0,1,0,0,1,0
"AF10","Bamyan",2011,2,1,0,1,4,50
"AF10","Bamyan",2012,0,1,0,0,1,0
"AF10","Bamyan",2013,3,5,0,1,9,33
"AF10","Bamyan",2014,1,1,0,0,2,50
"AF10","Bamyan",2015,5,0,0,0,5,100
"AF10","Bamyan",2016,0,3,0,0,3,0
"AF10","Bamyan",2017,2,1,0,0,3,67
"AF10","Bamyan",2018,5,4,0,0,9,56
